RefKey,MD5
base_P_ONLY_HT_0-15_N15000_P2_A1_RS1,4aebb523ee057986204ffe999589c36a
base_P_ONLY_HT_0-15_N15000_P4_A1_RS1,7f93b50c5438cda92ee11695f3a166ff
base_P_ONLY_HT_0-15_N15000_P8_A1_RS1,a6e18a59ce339ed0cd675b4b75721828
base_P_ONLY_HT_0-15_N15000_P16_A1_RS1,360d7e0cf0ee9171c60d99ae7776c73e
base_E_ONLY_16-23_N15000_P1_A1_RS1,8585e38c5f46eae9f1ab08794c63e81b
base_E_ONLY_16-23_N15000_P2_A1_RS1,4aebb523ee057986204ffe999589c36a
base_E_ONLY_16-23_N15000_P4_A1_RS1,7f93b50c5438cda92ee11695f3a166ff
base_E_ONLY_16-23_N15000_P8_A1_RS1,a6e18a59ce339ed0cd675b4b75721828
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N15000_P1_A1_RS1,8585e38c5f46eae9f1ab08794c63e81b
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N15000_P2_A1_RS1,4aebb523ee057986204ffe999589c36a
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N15000_P4_A1_RS1,7f93b50c5438cda92ee11695f3a166ff
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N15000_P8_A1_RS1,a6e18a59ce339ed0cd675b4b75721828
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N15000_P16_A1_RS1,360d7e0cf0ee9171c60d99ae7776c73e
base_ALL_LOGICAL_0-23_N15000_P1_A1_RS1,8585e38c5f46eae9f1ab08794c63e81b
base_ALL_LOGICAL_0-23_N15000_P2_A1_RS1,4aebb523ee057986204ffe999589c36a
base_ALL_LOGICAL_0-23_N15000_P4_A1_RS1,7f93b50c5438cda92ee11695f3a166ff
base_ALL_LOGICAL_0-23_N15000_P8_A1_RS1,a6e18a59ce339ed0cd675b4b75721828
base_ALL_LOGICAL_0-23_N15000_P16_A1_RS1,360d7e0cf0ee9171c60d99ae7776c73e
base_ALL_LOGICAL_0-23_N15000_P24_A1_RS1,2f3c3d3eb8b598f7b53029ca8e68c885
