CPU,Compiler,Opt,N,Tile,MinTime_Sec,MeanTime_Sec,GFLOPS_Min,GFLOPS_Mean,Status,Simd_Ops,FMA,Aligned,Unaligned
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,64,373.079478,374.267,9.946,9.914,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,128,396.287404,396.367,9.364,9.362,REF,7,3,57,6
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,1024,32,0.074892,0.075134,28.674,28.582,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,1024,64,0.071256,0.071432,30.137,30.063,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,1024,128,0.069802,0.0702033,30.765,30.589,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,2048,32,0.610678,0.612697,28.132,28.039,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,2048,64,0.571181,0.571733,30.077,30.048,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,2048,128,1.318990,1.32487,13.025,12.967,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,3072,32,2.048788,2.04942,28.300,28.291,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,3072,64,1.909485,1.90954,30.365,30.364,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,3072,128,1.874194,1.87498,30.937,30.924,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,4096,32,4.950649,4.95073,27.761,27.761,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,4096,64,12.462960,12.4708,11.027,11.020,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,4096,128,11.663372,11.6754,11.783,11.771,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,32,16.624800,16.6265,27.901,27.898,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,64,15.353559,15.3545,30.211,30.209,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,128,37.211320,37.2677,12.465,12.446,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,32,108.220920,109.004,10.159,10.086,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,64,117.143149,117.159,9.386,9.384,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,128,93.272463,93.771,11.788,11.725,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,32,76.888011,76.9023,27.930,27.924,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,64,71.000242,71.0043,30.246,30.244,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,128,174.824839,176.331,12.283,12.178,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,32,132.828198,132.832,27.937,27.936,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,64,337.718326,337.933,10.988,10.981,PASS,82,9,84,52
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,128,315.602409,317.508,11.757,11.687,PASS,82,9,84,52
