CPU,Compiler,Opt,N,Threads,Schedule,Chunk,Align,Restrict,Time_Min_s,Time_Mean_s,GFLOPS_Min,GFLOPS_Mean,SIMD_Ops,FMA,AlignedMov,UnalignedMov,Status
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,16,dynamic,16,1,1,53.685669,53.822,40.001,39.899,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,16,guided,8,1,1,53.950623,54.011,39.804,39.760,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,4,static,,1,1,181.786770,181.953,20.413,20.394,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,4,dynamic,16,1,1,181.916983,182.506,20.398,20.332,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,4,guided,8,1,1,181.853802,181.942,20.405,20.395,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,8,static,,1,1,176.868930,177.098,20.980,20.953,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,8,dynamic,16,1,1,131.910258,132.409,28.131,28.025,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,8,guided,8,1,1,131.894129,132.06,28.135,28.099,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,16,static,,1,1,137.948311,137.984,26.900,26.893,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,16,dynamic,16,1,1,95.647720,96.5897,38.797,38.418,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,16,guided,8,1,1,96.612667,96.7203,38.409,38.366,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,4,static,,1,1,334.057082,338.67,20.206,19.930,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,4,dynamic,16,1,1,331.955703,345.883,20.334,19.515,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,4,guided,8,1,1,330.013667,351.587,20.453,19.198,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,8,static,,1,1,323.407474,323.773,20.871,20.847,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,8,dynamic,16,1,1,239.747505,239.979,28.154,28.127,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,8,guided,8,1,1,239.091451,239.265,28.231,28.211,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,16,static,,1,1,248.520807,248.973,27.160,27.111,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,16,dynamic,16,1,1,169.886282,170.462,39.732,39.598,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,16,guided,8,1,1,169.425283,169.552,39.840,39.810,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,10240,1,guided,8,1,1,415.541982,416.39,5.167,5.157,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,1,static,,1,1,719.640763,720.513,5.156,5.150,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,1,dynamic,16,1,1,719.428272,720.36,5.158,5.151,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,12288,1,guided,8,1,1,718.300480,718.767,5.166,5.162,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,1,static,,1,1,1305.378892,1305.4,5.170,5.170,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,1,dynamic,16,1,1,1306.882693,1308.7,5.164,5.157,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icc,O3,15000,1,guided,8,1,1,1306.670190,1309.88,5.165,5.153,1,0,0,57,19,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,1,static,,1,1,88.480992,88.5127,5.242,5.240,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,1,dynamic,16,1,1,88.454494,88.4987,5.244,5.241,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,6144,1,guided,8,1,1,88.443336,88.4593,5.244,5.243,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,1,static,,1,1,209.241762,209.681,5.254,5.243,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,1,dynamic,16,1,1,209.243819,209.286,5.254,5.253,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,8192,1,guided,8,1,1,209.230068,209.26,5.255,5.254,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,1,static,,1,1,406.330822,406.7,5.285,5.280,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,1,dynamic,16,1,1,406.215253,406.743,5.286,5.279,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,1,guided,8,1,1,406.197213,406.373,5.286,5.284,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,1,static,,1,1,708.188613,709.15,5.239,5.232,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,10240,1,dynamic,16,1,1,405.250825,405.43,5.299,5.296,27,0,0,84,50,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,1,dynamic,16,1,1,707.638968,708.823,5.243,5.235,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,12288,1,guided,8,1,1,708.346362,709.17,5.238,5.232,26,0,0,84,48,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,1,static,,1,1,1273.582944,1274.85,5.300,5.294,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,1,dynamic,16,1,1,1274.223983,1274.74,5.297,5.295,27,0,0,84,53,PASS
12th Gen Intel(R) Core(TM) i9-12900K,icx,O3,15000,1,guided,8,1,1,1273.938221,1275.11,5.298,5.293,27,0,0,84,53,PASS
